"image","x_img","y_img","x_manip","y_manip"
"img0001","43.500000","363.500000","270","155"
"img0002","161.500000","251.500000","235","200"
"img0003","313.000000","197.000000","175","220"
"img0004","450.000000","168.500000","130","230"
"img0005","57.000000","556.500000","275","92"
"img0006","59.000000","603.500000","275","70"
"img0007","73.500000","583.000000","270","80"
"img0008","138.000000","400.500000","240","150"
"img0009","323.000000","285.500000","170","190"
"img0010","592.000000","47.500000","70","280"
"img0011","21.500000","600.500000","288","70"
"img0012","37.000000","462.000000","280","125"
"img0013","112.000000","329.500000","250","175"
"img0014","216.500000","237.500000","210","210"
"img0015","280.500000","153.500000","190","240"
"img0016","348.500000","86.000000","160","265"
"img0017","437.000000","86.500000","130","265"
"img0018","489.000000","86.500000","110","265"
"img0019","532.500000","80.500000","90","265"
"img0020","610.500000","89.000000","65","265"
"img0021","607.000000","143.500000","65","242"
"img0022","593.000000","143.000000","70","240"
"img0023","563.000000","151.000000","80","237"
"img0024","543.000000","166.000000","90","233"
"img0025","514.500000","176.500000","100","229"
"img0026","486.500000","185.500000","110","225"
"img0027","466.000000","204.500000","120","219"
"img0028","438.000000","218.000000","130","214"
"img0029","413.500000","235.500000","140","207"
"img0030","384.000000","253.000000","150","200"
"img0031","349.000000","275.000000","160","192"
"img0032","324.500000","301.500000","170","183"
"img0033","300.500000","323.000000","180","174"
"img0034","280.500000","361.500000","190","163"
"img0035","248.500000","392.000000","200","150"
"img0036","221.500000","434.500000","210","136"
"img0037","201.500000","481.500000","220","119"
"img0038","177.500000","540.500000","230","98"
"img0039","157.500000","616.500000","240","69"
"img0040","130.000000","616.500000","250","70"
"img0041","99.500000","613.500000","260","70"
"img0042","73.000000","615.500000","270","70"
"img0043","45.000000","619.000000","280","70"
"img0044","21.000000","619.500000","290","70"
"img0045","24.000000","592.500000","290","80"
"img0046","48.000000","583.500000","280","80"
"img0047","73.000000","584.000000","270","80"
"img0048","99.000000","578.000000","260","80"
"img0049","120.500000","589.000000","250","80"
"img0050","152.000000","588.500000","240","80"
